country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,0.103,,0.136,0.186,,0.228,,0.218,0.212,,,,0.225,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,,0.751,,,0.601,,,,0.693,,,,,,,,,0.46
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358,,,,,0.509,,,0.569,,,,,0.64,,0.57,,,,0.614,,,,,,0.559,0.571,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,0.062,,,,,,,,0.177,,,,,,,0.137,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.482,0.482,,,,,,0.526,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653,,,,0.789,,,,,,,0.554,0.813,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,0.605,,,,,0.531,,,,,0.549,,,,,,0.571,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,0.761,,,,,,,,,0.667,,,,,,,0.708,,,0.723,0.652,,,0.62,,,0.678,,,,0.669,,
Austria,,,,,,,,,,,,,,,,,,,,,,0.714,,,,,,,,,,,,,,0.509,,,,,,,,,,,,,0.696,,,,0.657,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551,0.554,,,,,0.511,,,,,0.549,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,,,,,,,,,0.446,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,,,,,,0.618,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,0.077,,,,0.127,0.186,,,0.191,,0.253,,,0.314,,0.399,,,0.449,,,0.498,,,0.543,,,,0.585,,,0.558,0.526,,,0.612,,0.618,0.623,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,0.55,,,,,,,,,,0.55,,,,,,,,,,,,,,0.592,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504,,,,,,,,,,0.726,,,,,,,0.631,,,,,0.721,
Belgium,,,,,,0.72,,,,,,,,,,0.87,,,,,,,0.81,,,,,,,,,0.784,,,,,0.565,,,,0.756,,,0.746,,,,,0.704,,,,0.668,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,,,,,,,,0.561,,,,,,,0.343,,,,,0.552,,,,,0.514,,
Benin,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,,,,,,,,,,0.164,,,,,0.186,,,,,0.17,,,,,,0.129,,0.179,,,,0.155
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,,0.307,,,,,,,0.354,,,0.656,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,0.236,,,,,,0.303,,,,,0.453,,,,0.483,,0.534,,,0.584,,,,,0.605,,,,,,,,0.665,,
Bosnia and Herzegovina,,,,,,,,,,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,0.357,,,,,,0.458,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,0.33,,,,,,,,0.417,,,,0.444,,,,,,,0.528,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,0.662,,,,,0.592,,,,,0.767,,,,,,,,,,0.803,,,,,,,0.802,,,,,
Bulgaria,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.859,,,0.634,,,,,,,0.644,,0.692,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249,,,,,,0.119,,,,0.138,,,0.174,,,,0.162,,,,0.181,0.208,0.255,0.254,0.317
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,,,,,,,0.157,,0.197,,,0.091,,,,0.227,0.219,,0.317,,,,,0.285,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,,,0.218,,0.238,,,,,0.4,,,,,0.505,,,,0.563,,,,
Cameroon,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,0.161,,,,,,,0.193,,0.256,,,,0.26,,0.292,,,,,0.234,,,0.344,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,0.731,,,,,,,,,,,0.747,,,0.8,,,,0.74,,,,0.85,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,0.238,,,,,,,,,0.529,,,,,,,0.613,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,,,,,0.279,,,,,,0.19,,,,0.152,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,0.079,,,,0.028,,,,,,0.048,,,,,0.057,,,
Chile,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,0.56,,,,,,,,,,,0.607,,,,,0.642,,,,,,,,,,0.763,,
China,,,,,,,,,,,,,,,,,,,,,,0.695,,,0.74,,,0.711,,,,0.846,,0.907,0.904,0.911,0.838,,0.83,0.838,0.869,,,,,0.846,,0.893,0.89,0.891,0.886,0.879,,,,,0.845,
Colombia,,,,,,,,,0.205,,,,,,,0.425,,0.461,,0.485,,,,,,0.648,,,,0.661,,,,,0.722,,,,,0.769,,,,,0.782,,,,,0.791,,,,,0.81,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,0.257,,,,,,,,,,,,0.194,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,0.258,0.258,,,,,,,0.077,,,,,,,,,,0.314,,,,,,0.206,,,0.177,,,,0.204,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,,,,,,,0.447,,,0.301,,,
Costa Rica,,,,,,,,,,,,,,,,0.644,0.644,0.638,,,0.652,,,,,0.695,,,,,,,0.75,,,,,,0.8,,,,,,0.96,,0.96,0.8,0.811,0.822,0.762,,,,0.778,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,,,,,,,,0.114,,,,,0.15,,,,,,,0.129,,,,,,0.182,,,,0.155,0.236,0.233
Croatia,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,0.6,,0.6,,,,,0.7,,,,,,,,,,,,,0.733,,,,,,0.726,0.771,,0.778,0.778,0.743,,,0.737,,,,
Czech Republic,,,,,,,,,,0.66,,,,,,,0.95,,,,,,,,,,,,,,0.78,,0.689,,,,0.72,,,,,,,,0.782,,,0.863,,,,,,,,,,
Denmark,,,,,,,,,,0.67,,,,,0.63,,,,,,,,,,,,,0.78,,,,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.178,,0.225,,,,0.19,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,0.623,0.623,,,,,0.498,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,0.318,,,,,0.42,,,0.458,,,0.498,,,,,0.564,,,,,0.637,,,0.692,0.647,,0.698,,,,0.613,0.729,,,0.73,,,0.719,0.695,,,,
Ecuador,,,,,,,,,,,,,,,,,,,0.336,0.336,,0.399,,,,,0.443,,0.529,,,,,0.568,,,,,0.658,,,,,0.727,,,,,,,,0.801,,,,,,
Egypt,,,,,,,,,,,,,,,0.249,,,,,0.314,,,,0.303,,,,0.378,,,0.476,0.471,,,0.479,,0.545,0.517,,0.561,,,0.6,,0.592,,,0.603,,,,,,0.585,,,,
El Salvador,,,,,,,,,,,,,,,0.216,,,0.344,,,,,,,0.473,,,0.471,,,,,0.533,,,,,0.6,,,,,0.673,,,,,0.723,,,,,,0.72,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,,,0.126,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,0.08,,,,,,,,0.084,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,0.634,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,0.033,,,0.081,,,,,0.147,,,,,,0.286,,,0.42,0.379,0.359,0.366,0.401
Fiji,,,,,,,,,,,,,,0.409,,,,0.38,,,,,,,,,,,,,,,,,,,0.439,,,0.44,,0.35,,,,,0.431,,,0.318,,0.443,,,,,,
Finland,,,,,,,,,,,0.77,,,,,,0.8,,,,,,,,,,,,,0.774,,0.788,,,,,,,0.795,,,,,,,,0.742,,,,,,,,0.855,,,
France,,,,,,,,,,,0.64,0.64,,,,,0.71,0.787,,,,,,,,,,0.812,,,,,,0.745,,,,,,0.818,,,,,0.766,,,0.764,,0.784,0.784,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327,,,,,,,,,,,,0.311,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,0.095,0.175,,,,,,,,,0.133,,,0.09,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405,,,,,,0.315,0.456,,,0.355,0.534,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,0.779,,,,,,,0.701,,,,,,,,,,,,,0.662,,,0.507,,,0.803,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,0.129,,,,0.172,0.203,,,,,0.22,0.15,,,,0.252,,,0.166,,0.235,,,0.347,,0.198,0.267,0.347,0.306,0.308,
Greece,,,,,,,,,,,,,,,,,,,,,,,0.772,,,,,,,,,,,,,,,,0.613,,0.762,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,0.543,,,,,,,,0.54,,,,,,,,0.54,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,0.181,,,,,0.25,,,,0.232,,,,,,,,0.314,,,,0.382,,,0.433,,,,,,,0.541,,,,,,0.606,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,0.062,,,,0.065,,0.091,,,,,,,0.056,,,,0.087,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,,,,,,0.103,,,,0.142,,,,0.16,,,,
Guyana,,,,,,,,,,,,,,,0.295,,,,,,,,,,,,,,,,,0.382,,,,,,,,0.373,,,,,0.346,0.342,,,0.425,,,,,0.339,,,,
Haiti,,,,,,,,,,,,,,,,,0.189,,,,,,0.069,,,,0.067,,0.102,,,,,,0.18,,,,,0.281,,,,,,0.32,,,,,,0.345,,,,,0.343,
Honduras,,,,,,,,,,,,,,,,,,,,,0.269,,,0.349,,,0.406,,,,,0.467,,,,0.492,,,,,0.616,,,,,0.652,,,,,,0.732,,,,,,
Hungary,,,,,,0.666,,,0.67,,,0.73,,0.74,0.76,,0.731,,,,,,,,,0.731,,,,,,,0.806,,,,,,,,,,,,,,,,0.616,,,,,,,,,
India,,,,,,,,,,0.136,0.136,,,,,,,,,0.353,0.353,,,,,,,0.449,,,,,0.407,,,,,,0.482,0.469,,,0.53,0.53,0.544,0.563,,0.548,,,,,,,,0.535,,
Indonesia,,,,,,,,,,,,,0.086,,,0.263,,,0.312,,,,,,0.385,,0.477,,,,0.497,,0.531,0.547,0.542,0.542,0.574,0.554,0.554,0.548,0.525,0.542,0.603,0.567,0.572,0.579,0.614,0.566,0.606,0.61,0.613,0.619,0.62,0.616,0.615,0.594,0.61,
Iran,,,,,,,,,,,,,,,,,0.36,0.23,,,,,,,,,,,0.489,,0.49,0.646,0.678,0.7,0.728,0.737,0.729,,,0.738,,0.733,,,0.789,,,,,0.774,,,,,,,,
Iraq,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,,,0.137,,,,,,,,,,,0.435,,,,,,0.498,,,,,0.525,,,,,,,0.528
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,0.75,,0.762,0.648,,,,,0.733,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,0.627,,,,,,,,,,,,,,,,,0.651,,,,,
Jamaica,,,,,,,,,,,,,,,,0.383,,,0.549,,,,0.514,,,,,,0.546,,,,0.62,,,,0.659,,,,,0.691,0.69,,,,,0.725,,,,,,,,,,
Japan,0.42,,0.446,,0.555,,0.53,,0.521,,0.526,,0.593,,0.605,,0.604,,0.622,,,,,0.573,,0.628,0.645,0.563,,0.579,,0.64,,0.586,,0.566,0.604,0.541,,0.559,,,,0.52,0.543,,,,,,,,,0.547,0.398,,,
Jordan,,,,,,,,,,,,0.261,,,,0.252,,,,,,,0.26,,0.265,,,,,0.4,,,,,,,0.526,,,,,0.558,,,,,0.571,,0.593,,,0.612,,,,,,0.518
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591,,,,0.661,,,,,,,0.507,,,,,0.51,,,,0.557,,,0.548
Kenya,,,,,,,,,,,,,,,,,,0.07,,,,,,0.17,,,,,0.269,,,,0.327,,,,,0.39,,,,,0.393,,,,,,0.455,,,,,0.58,0.663,0.616,0.605,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.361,,,,0.215,,,,0.2,0.223,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,0.346,,,,,,,0.498,,0.502,,,0.52,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,0.478,,,,,,0.363,,0.42,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,,0.2,,,,,0.322,,,,,0.384,,,,,,,0.498,,,,,0.541,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,0.53,,,,,,,,,,,,,0.617,,,,,,,,,,,,0.611,,,,0.627,,0.58,,0.58,,,,,0.545,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,0.072,,,,,,,,,,,,,,,0.232,,,0.291,,,,,0.304,0.406,0.38,,0.373,,,,,0.47,,0.634,,,0.602,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,,,,,,0.1,,,,,,,0.114,,,,,,0.202,,,0.312,,
